source,row,reason
kitchen,"{'timestamp': '1776599139', 'order_ref': 'ghost_9954', 'item_name': 'Ghost Pizza', 'station_id': 'STN-0', 'event_type': ",phantom/ghost order ref
kitchen,"{'timestamp': '1776604830', 'order_ref': 'ghost_6885', 'item_name': 'Ghost Pizza', 'station_id': 'STN-0', 'event_type': ",phantom/ghost order ref
kitchen,"{'timestamp': '1776610149', 'order_ref': 'ghost_2695', 'item_name': 'Ghost Pizza', 'station_id': 'STN-0', 'event_type': ",phantom/ghost order ref
kitchen,"{'timestamp': '1776618182', 'order_ref': 'ghost_4814', 'item_name': 'Ghost Pizza', 'station_id': 'STN-0', 'event_type': ",phantom/ghost order ref
kitchen,"{'timestamp': '1776619312', 'order_ref': 'ghost_9346', 'item_name': 'Ghost Pizza', 'station_id': 'STN-0', 'event_type': ",phantom/ghost order ref
kitchen,"{'timestamp': '1776625630', 'order_ref': 'ghost_6497', 'item_name': 'Ghost Pizza', 'station_id': 'STN-0', 'event_type': ",phantom/ghost order ref
kitchen,"{'timestamp': '1776690406', 'order_ref': 'ghost_1648', 'item_name': 'Ghost Pizza', 'station_id': 'STN-0', 'event_type': ",phantom/ghost order ref
kitchen,"{'timestamp': '1776691930', 'order_ref': 'ghost_5934', 'item_name': 'Ghost Pizza', 'station_id': 'STN-0', 'event_type': ",phantom/ghost order ref
kitchen,"{'timestamp': '1776692788', 'order_ref': 'ghost_5434', 'item_name': 'Ghost Pizza', 'station_id': 'STN-0', 'event_type': ",phantom/ghost order ref
kitchen,"{'timestamp': '1776704717', 'order_ref': 'ghost_8881', 'item_name': 'Ghost Pizza', 'station_id': 'STN-0', 'event_type': ",phantom/ghost order ref
kitchen,"{'timestamp': '1776706587', 'order_ref': 'ghost_6037', 'item_name': 'Ghost Pizza', 'station_id': 'STN-0', 'event_type': ",phantom/ghost order ref
kitchen,"{'timestamp': '1776707635', 'order_ref': 'ghost_9314', 'item_name': 'Ghost Pizza', 'station_id': 'STN-0', 'event_type': ",phantom/ghost order ref
kitchen,"{'timestamp': '1776708739', 'order_ref': 'ghost_8400', 'item_name': 'Ghost Pizza', 'station_id': 'STN-0', 'event_type': ",phantom/ghost order ref
kitchen,"{'timestamp': '1776710659', 'order_ref': 'ghost_6696', 'item_name': 'Ghost Pizza', 'station_id': 'STN-0', 'event_type': ",phantom/ghost order ref
kitchen,"{'timestamp': '1776725695', 'order_ref': 'ghost_3247', 'item_name': 'Ghost Pizza', 'station_id': 'STN-0', 'event_type': ",phantom/ghost order ref
oven,[2026-04-19T11:19:37] OVEN_IN ▒█▓█ERROR▒▒▓█,corrupted/garbled line
oven,[2026-04-19T11:53:39Z] OVEN_OUT ▒▓▓▒ERROR▒█▒▒,corrupted/garbled line
oven,[2026-04-19T12:43:04Z] OVEN_OUT █▓░░ERROR░▒░▓,corrupted/garbled line
oven,[2026-04-19T12:44:48Z] OVEN_OUT █▒█░ERROR▓▓▓░,corrupted/garbled line
