wall_timestamp,sim_min,insiders,drivers
2026-04-19T11:00:00.122076+00:00,0.002,3,2
2026-04-19T11:00:00.125748+00:00,0.002,3,2
2026-04-19T11:30:01.056804+00:00,30.018,4,2
2026-04-19T11:30:01.067382+00:00,30.018,4,3
2026-04-19T14:00:02.748174+00:00,180.046,3,3
2026-04-19T14:00:02.752932+00:00,180.046,3,3
2026-04-19T16:30:02.788230+00:00,330.046,4,3
2026-04-19T16:30:02.793624+00:00,330.047,4,4
2026-04-19T17:00:02.560098+00:00,360.043,6,4
2026-04-19T17:00:02.565510+00:00,360.043,6,8
2026-04-19T19:00:00.214068+00:00,480.004,4,8
2026-04-19T19:00:00.223440+00:00,480.004,4,5
2026-04-19T21:00:01.408926+00:00,600.023,3,5
2026-04-19T21:00:01.418760+00:00,600.024,3,3
2026-04-19T23:00:02.409768+00:00,720.04,2,3
2026-04-19T23:00:02.420244+00:00,720.04,2,2
