order_id,order_type,num_items,total_prep_weight,item_details,placed_at,completed_at,actual_time_min,naive_estimate_min,dynamic_estimate_min,naive_error_min,dynamic_error_min,queue_depth_at_placement,active_workers_at_placement,available_drivers_at_placement,rush_active_at_placement,driver_wait_min,driver_id,order_revenue
394B0F6D,carryout,4,5.8,"[{""name"": ""Cheese"", ""prep_weight"": 1.2, ""price"": 10.0}, {""name"": ""Sausage"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Pepperoni"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Custom (4 toppings)"", ""prep_weight"": 1.8, ""price"": 14.0}]",0.003,10.769,10.766,9.9,11.218,-0.866,0.452,0,0,4,False,0.0,,44.0
B39E583A,carryout,4,5.8,"[{""name"": ""Custom (2 toppings)"", ""prep_weight"": 1.4, ""price"": 12.0}, {""name"": ""Pepperoni"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Custom (3 toppings)"", ""prep_weight"": 1.6, ""price"": 13.0}, {""name"": ""Pepperoni"", ""prep_weight"": 1.4, ""price"": 10.0}]",1.871,12.713,10.842,9.9,11.41,-0.942,0.568,1,2,4,False,0.0,,45.0
44C9604A,carryout,1,2.2,"[{""name"": ""Custom (6 toppings)"", ""prep_weight"": 2.2, ""price"": 16.0}]",5.071,15.296,10.225,9.9,10.2,-0.325,-0.025,3,1,4,False,0.0,,16.0
1AD0C27B,carryout,2,4.0,"[{""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}, {""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}]",6.139,16.617,10.478,9.9,10.887,-0.578,0.409,4,1,4,False,0.0,,30.0
0FCE58A7,carryout,6,11.4,"[{""name"": ""Custom (4 toppings)"", ""prep_weight"": 1.8, ""price"": 14.0}, {""name"": ""Custom (8 toppings)"", ""prep_weight"": 2.6, ""price"": 18.0}, {""name"": ""Cheese"", ""prep_weight"": 1.2, ""price"": 10.0}, {""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}, {""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}, {""name"": ""Custom (2 toppings)"", ""prep_weight"": 1.4, ""price"": 12.0}]",8.609,21.627,13.019,9.9,14.011,-3.119,0.993,5,1,4,False,0.0,,84.0
9E7C2FCF,delivery,1,1.2,"[{""name"": ""Custom (1 toppings)"", ""prep_weight"": 1.2, ""price"": 11.0}]",3.7,23.951,20.251,19.9,19.496,-0.351,-0.755,2,2,4,False,0.0,D1,11.0
4B0C9A8C,carryout,6,12.2,"[{""name"": ""Supreme"", ""prep_weight"": 2.6, ""price"": 15.0}, {""name"": ""Custom (3 toppings)"", ""prep_weight"": 1.6, ""price"": 13.0}, {""name"": ""Pepperoni"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Custom (4 toppings)"", ""prep_weight"": 1.8, ""price"": 14.0}, {""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}, {""name"": ""Supreme"", ""prep_weight"": 2.6, ""price"": 15.0}]",9.879,25.697,15.818,9.9,17.082,-5.918,1.264,6,3,4,False,0.0,,82.0
0115F319,carryout,1,2.6,"[{""name"": ""Supreme"", ""prep_weight"": 2.6, ""price"": 15.0}]",13.678,26.982,13.304,10.766,13.538,-2.538,0.234,7,3,3,False,0.0,,15.0
7BC08068,carryout,6,9.4,"[{""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}, {""name"": ""Sausage"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Pepperoni"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Custom (4 toppings)"", ""prep_weight"": 1.8, ""price"": 14.0}, {""name"": ""Pepperoni"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Pepperoni"", ""prep_weight"": 1.4, ""price"": 10.0}]",16.014,30.104,14.089,10.804,15.051,-3.286,0.962,7,3,3,False,0.0,,69.0
3CD743FE,carryout,2,4.8,"[{""name"": ""Custom (6 toppings)"", ""prep_weight"": 2.2, ""price"": 16.0}, {""name"": ""Supreme"", ""prep_weight"": 2.6, ""price"": 15.0}]",17.831,31.708,13.878,10.611,14.351,-3.267,0.473,7,3,3,False,0.0,,31.0
B5AB816C,delivery,1,1.2,"[{""name"": ""Custom (1 toppings)"", ""prep_weight"": 1.2, ""price"": 11.0}]",11.414,36.46,25.046,19.9,24.788,-5.146,-0.258,7,3,4,False,0.0,D2,11.0
30A5E39D,carryout,4,7.4,"[{""name"": ""Supreme"", ""prep_weight"": 2.6, ""price"": 15.0}, {""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}, {""name"": ""Pepperoni"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Cheese"", ""prep_weight"": 1.2, ""price"": 10.0}]",20.534,34.637,14.103,10.578,14.854,-3.525,0.752,8,3,3,False,0.0,,50.0
BD3FBCE5,carryout,2,2.8,"[{""name"": ""Sausage"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Sausage"", ""prep_weight"": 1.4, ""price"": 10.0}]",21.807,35.558,13.75,10.578,14.03,-3.173,0.28,9,3,3,False,0.0,,20.0
19156597,carryout,2,3.2,"[{""name"": ""Custom (2 toppings)"", ""prep_weight"": 1.4, ""price"": 12.0}, {""name"": ""Custom (4 toppings)"", ""prep_weight"": 1.8, ""price"": 14.0}]",23.106,36.637,13.531,10.578,13.84,-2.953,0.309,10,3,3,False,0.0,,26.0
9669D288,delivery,1,1.4,"[{""name"": ""Pepperoni"", ""prep_weight"": 1.4, ""price"": 10.0}]",19.437,40.391,20.954,10.578,22.853,-10.377,1.899,7,3,3,False,0.0,D3,10.0
95EB8FD7,carryout,6,11.4,"[{""name"": ""Custom (2 toppings)"", ""prep_weight"": 1.4, ""price"": 12.0}, {""name"": ""Custom (7 toppings)"", ""prep_weight"": 2.4, ""price"": 17.0}, {""name"": ""Supreme"", ""prep_weight"": 2.6, ""price"": 15.0}, {""name"": ""Custom (1 toppings)"", ""prep_weight"": 1.2, ""price"": 11.0}, {""name"": ""Custom (1 toppings)"", ""prep_weight"": 1.2, ""price"": 11.0}, {""name"": ""Supreme"", ""prep_weight"": 2.6, ""price"": 15.0}]",26.342,41.246,14.904,12.597,16.068,-2.307,1.163,10,3,2,False,0.0,,81.0
A116A043,carryout,1,2.0,"[{""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}]",27.694,41.91,14.216,12.597,14.392,-1.619,0.176,11,3,2,False,0.0,,15.0
3487F356,delivery,2,2.4,"[{""name"": ""Cheese"", ""prep_weight"": 1.2, ""price"": 10.0}, {""name"": ""Cheese"", ""prep_weight"": 1.2, ""price"": 10.0}]",24.155,46.582,22.427,12.597,23.507,-9.83,1.08,9,3,3,False,0.0,D1,20.0
A1B4AA0A,carryout,3,5.2,"[{""name"": ""Pepperoni"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Custom (4 toppings)"", ""prep_weight"": 1.8, ""price"": 14.0}, {""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}]",32.794,47.965,15.17,13.199,15.696,-1.971,0.525,11,3,1,False,0.0,,39.0
56DAC0D2,delivery,6,10.4,"[{""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}, {""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}, {""name"": ""Cheese"", ""prep_weight"": 1.2, ""price"": 10.0}, {""name"": ""Custom (7 toppings)"", ""prep_weight"": 2.4, ""price"": 17.0}, {""name"": ""Custom (2 toppings)"", ""prep_weight"": 1.4, ""price"": 12.0}, {""name"": ""Pepperoni"", ""prep_weight"": 1.4, ""price"": 10.0}]",29.178,54.7,25.522,13.088,27.26,-12.435,1.738,10,3,2,False,0.0,D4,79.0
3BD21E49,carryout,2,3.8,"[{""name"": ""Custom (8 toppings)"", ""prep_weight"": 2.6, ""price"": 18.0}, {""name"": ""Custom (1 toppings)"", ""prep_weight"": 1.2, ""price"": 11.0}]",37.532,52.711,15.179,15.021,15.544,-0.158,0.365,10,3,1,False,0.0,,29.0
AF0E1B9B,delivery,2,2.6,"[{""name"": ""Cheese"", ""prep_weight"": 1.2, ""price"": 10.0}, {""name"": ""Custom (2 toppings)"", ""prep_weight"": 1.4, ""price"": 12.0}]",31.505,57.489,25.984,13.088,24.978,-12.896,-1.007,11,3,2,False,0.538,D2,22.0
64F42812,carryout,4,8.4,"[{""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}, {""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}, {""name"": ""Custom (8 toppings)"", ""prep_weight"": 2.6, ""price"": 18.0}, {""name"": ""Custom (3 toppings)"", ""prep_weight"": 1.6, ""price"": 13.0}]",41.504,56.449,14.945,16.472,15.79,1.528,0.845,9,3,1,False,0.0,,61.0
B9E0F487,delivery,6,10.4,"[{""name"": ""Custom (4 toppings)"", ""prep_weight"": 1.8, ""price"": 14.0}, {""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}, {""name"": ""Cheese"", ""prep_weight"": 1.2, ""price"": 10.0}, {""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}, {""name"": ""Pepperoni"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}]",35.119,62.175,27.056,13.267,27.386,-13.789,0.33,11,3,2,False,0.0,D3,79.0
87E6022A,carryout,4,6.6,"[{""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}, {""name"": ""Cheese"", ""prep_weight"": 1.2, ""price"": 10.0}, {""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}, {""name"": ""Sausage"", ""prep_weight"": 1.4, ""price"": 10.0}]",47.405,62.226,14.821,16.69,15.5,1.869,0.678,9,3,0,False,0.0,,50.0
7A227738,delivery,2,2.8,"[{""name"": ""Custom (2 toppings)"", ""prep_weight"": 1.4, ""price"": 12.0}, {""name"": ""Pepperoni"", ""prep_weight"": 1.4, ""price"": 10.0}]",39.531,64.314,24.783,15.679,24.373,-9.104,-0.41,9,3,1,False,2.091,D1,22.0
2A0C9B73,carryout,6,9.8,"[{""name"": ""Custom (2 toppings)"", ""prep_weight"": 1.4, ""price"": 12.0}, {""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}, {""name"": ""Cheese"", ""prep_weight"": 1.2, ""price"": 10.0}, {""name"": ""Custom (1 toppings)"", ""prep_weight"": 1.2, ""price"": 11.0}, {""name"": ""Supreme"", ""prep_weight"": 2.6, ""price"": 15.0}, {""name"": ""Cheese"", ""prep_weight"": 1.2, ""price"": 10.0}]",49.383,65.503,16.12,16.69,17.125,0.57,1.005,10,3,1,False,0.0,,73.0
EA4C086B,carryout,3,5.2,"[{""name"": ""Cheese"", ""prep_weight"": 1.2, ""price"": 10.0}, {""name"": ""Sausage"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Supreme"", ""prep_weight"": 2.6, ""price"": 15.0}]",51.127,67.216,16.089,16.798,16.63,0.709,0.541,10,3,1,False,0.0,,35.0
B74F8804,carryout,1,2.2,"[{""name"": ""Custom (6 toppings)"", ""prep_weight"": 2.2, ""price"": 16.0}]",52.379,67.975,15.596,16.798,15.795,1.202,0.199,11,3,0,False,0.0,,16.0
D5626CF1,carryout,2,4.8,"[{""name"": ""Supreme"", ""prep_weight"": 2.6, ""price"": 15.0}, {""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}]",53.117,72.166,19.049,16.798,19.531,-2.251,0.482,13,3,0,True,0.0,,30.0
F5DFFEF1,delivery,1,1.4,"[{""name"": ""Pepperoni"", ""prep_weight"": 1.4, ""price"": 10.0}]",43.764,76.413,32.648,15.938,23.259,-16.711,-9.39,9,3,1,False,7.117,D4,10.0
5D071B95,carryout,5,6.8,"[{""name"": ""Custom (1 toppings)"", ""prep_weight"": 1.2, ""price"": 11.0}, {""name"": ""Cheese"", ""prep_weight"": 1.2, ""price"": 10.0}, {""name"": ""Pepperoni"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Sausage"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Custom (3 toppings)"", ""prep_weight"": 1.6, ""price"": 13.0}]",53.53,75.313,21.783,16.798,22.462,-4.985,0.679,15,3,0,True,0.0,,54.0
