order_id,order_type,num_items,total_prep_weight,item_details,placed_at,completed_at,actual_time_min,naive_estimate_min,dynamic_estimate_min,naive_error_min,dynamic_error_min,queue_depth_at_placement,active_workers_at_placement,available_drivers_at_placement,rush_active_at_placement,bottleneck_at_placement,driver_wait_min,driver_id,order_revenue
72FE56F8,carryout,3,5.4,"[{""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}, {""name"": ""Custom (2 toppings)"", ""prep_weight"": 1.4, ""price"": 12.0}, {""name"": ""Custom (5 toppings)"", ""prep_weight"": 2.0, ""price"": 15.0}]",0.001,11.202,11.201,9.9,11.492,-1.301,0.291,0,0,2,False,False,0.0,,42.0
41330549,carryout,1,2.0,"[{""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}]",8.157,18.19,10.033,9.9,10.0,-0.133,-0.033,1,0,2,False,False,0.0,,15.0
4376E5C0,carryout,5,9.4,"[{""name"": ""Custom (5 toppings)"", ""prep_weight"": 2.0, ""price"": 15.0}, {""name"": ""Cheese"", ""prep_weight"": 1.2, ""price"": 10.0}, {""name"": ""Custom (5 toppings)"", ""prep_weight"": 2.0, ""price"": 15.0}, {""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}, {""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}]",27.111,39.633,12.522,10.617,13.246,-1.905,0.725,1,0,2,False,False,0.0,,70.0
A72BE2FB,delivery,5,8.0,"[{""name"": ""Custom (2 toppings)"", ""prep_weight"": 1.4, ""price"": 12.0}, {""name"": ""Cheese"", ""prep_weight"": 1.2, ""price"": 10.0}, {""name"": ""Custom (4 toppings)"", ""prep_weight"": 1.8, ""price"": 14.0}, {""name"": ""Pepperoni"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Custom (6 toppings)"", ""prep_weight"": 2.2, ""price"": 16.0}]",18.392,42.024,23.633,11.201,22.295,-12.432,-1.337,1,0,2,False,False,0.0,D1,62.0
83FDFF73,carryout,1,1.2,"[{""name"": ""Cheese"", ""prep_weight"": 1.2, ""price"": 10.0}]",38.374,47.652,9.278,10.617,9.2,1.339,-0.078,2,0,2,False,False,0.0,,10.0
2BE333F7,carryout,4,8.8,"[{""name"": ""Custom (8 toppings)"", ""prep_weight"": 2.6, ""price"": 18.0}, {""name"": ""Sausage"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Supreme"", ""prep_weight"": 2.6, ""price"": 15.0}, {""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}]",41.412,53.648,12.237,10.617,12.792,-1.62,0.555,3,0,2,False,False,0.0,,58.0
91041BE8,carryout,6,12.8,"[{""name"": ""Custom (4 toppings)"", ""prep_weight"": 1.8, ""price"": 14.0}, {""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}, {""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}, {""name"": ""Custom (7 toppings)"", ""prep_weight"": 2.4, ""price"": 17.0}, {""name"": ""Custom (6 toppings)"", ""prep_weight"": 2.2, ""price"": 16.0}, {""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}]",45.771,58.379,12.608,14.347,13.689,1.739,1.082,2,0,2,False,False,0.0,,92.0
A43AA6D3,carryout,5,8.0,"[{""name"": ""Sausage"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Custom (6 toppings)"", ""prep_weight"": 2.2, ""price"": 16.0}, {""name"": ""Custom (3 toppings)"", ""prep_weight"": 1.6, ""price"": 13.0}, {""name"": ""Custom (3 toppings)"", ""prep_weight"": 1.6, ""price"": 13.0}, {""name"": ""Custom (1 toppings)"", ""prep_weight"": 1.2, ""price"": 11.0}]",55.912,66.31,10.398,13.15,11.192,2.753,0.794,4,2,3,False,True,0.0,,63.0
DABD6AFE,delivery,4,6.8,"[{""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}, {""name"": ""Custom (4 toppings)"", ""prep_weight"": 1.8, ""price"": 14.0}, {""name"": ""Pepperoni"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Sausage"", ""prep_weight"": 1.4, ""price"": 10.0}]",47.592,70.518,22.926,14.347,23.137,-8.579,0.211,3,4,2,False,True,0.0,D1,49.0
326B8F41,delivery,6,11.8,"[{""name"": ""Supreme"", ""prep_weight"": 2.6, ""price"": 15.0}, {""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}, {""name"": ""Pepperoni"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Custom (6 toppings)"", ""prep_weight"": 2.2, ""price"": 16.0}, {""name"": ""Sausage"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}]",49.466,71.934,22.468,14.347,24.732,-8.121,2.264,4,4,2,False,True,0.0,D2,81.0
